start_date,end_date,eod_ticker,open_figi,cik,cusip,isin,sector,industry,gic_sector,gic_group,gic_industry,gic_sub_industry,country_iso
1999-11-18,,A.US,BBG000C2V3D6,1090872,00846U101,US00846U1016,Healthcare,Diagnostics & Research,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,Life Sciences Tools & Services,US
1962-01-02,,AA.US,BBG00B3T3HD3,1675149,013872106,US0138721065,Basic Materials,Aluminum,Materials,Materials,Metals & Mining,Aluminum,US
2021-03-25,,AAC.US,BBG00YZC2Z91,1829432,,KYG330321061,Financial Services,Shell Companies,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,US
2017-08-08,,AADI.US,BBG002WN7DT2,1422142,,US00032Q1040,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
2005-09-27,,AAL.US,BBG005P7Q881,6201,001765106,US02376R1023,Industrials,Airlines,Industrials,Transportation,Passenger Airlines,Passenger Airlines,US
2012-12-13,,AAMC.US,BBG003PNL136,1555074,02153X108,VI02153X1080,Financial Services,Mortgage Finance,Real Estate,Real Estate Management & Development,Real Estate Management & Development,Real Estate Development,US
2020-11-25,,AAN.US,BBG00WCNDCZ6,706688,002535201,US00258W1080,Industrials,Rental & Leasing Services,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Homefurnishing Retail,US
2013-09-26,,AAOI.US,BBG000D6VW15,1158114,03823U102,US03823U1025,Technology,Communication Equipment,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,US
2006-07-03,,AAON.US,BBG000C2LZP3,824142,000360206,US0003602069,Industrials,Building Products & Equipment,Industrials,Capital Goods,Building Products,Building Products,US
2001-11-29,,AAP.US,BBG000F7RCJ1,1158449,00751Y106,US00751Y1064,Consumer Cyclical,Specialty Retail,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Automotive Retail,US
1980-12-12,,AAPL.US,BBG000B9XRY4,320193,037833100,US0378331005,Technology,Consumer Electronics,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",US
2011-01-13,,AAT.US,BBG00161BCR0,1500217,024013104,US0240131047,Real Estate,REIT - Diversified,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs,Diversified REITs,US
2004-07-21,,AAWW.US,BBG000Q57YP0,1135185,049164205,US0491642056,,,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics,US
2012-12-10,,ABBV.US,BBG0025Y4RY4,1551152,00287Y109,US00287Y1091,Healthcare,Drug Manufacturers - General,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
1994-05-19,,ABCB.US,BBG000CDY3H5,351569,03076K108,US03076K1088,Financial Services,Banks - Regional,Financials,Banks,Banks,Regional Banks,US
2020-12-11,,ABCL.US,BBG00LLW2MF2,1703057,,CA00288U1066,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
1984-11-05,,ABEO.US,BBG000DT5D52,318306,00431M308,US00289Y1073,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
2002-03-14,,ABG.US,BBG000BKDWB5,1144980,043436104,US0434361046,Consumer Cyclical,Auto & Truck Dealerships,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Automotive Retail,US
1997-08-08,,ABIO.US,BBG000BWNN28,907654,67072M301,US00211Y5069,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
1984-11-05,,ABM.US,BBG000B9YYH7,771497,000957100,US0009571003,Industrials,Specialty Business Services,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Environmental & Facilities Services,US
2020-12-10,,ABNB.US,BBG001Y2XS07,1559720,,US0090661010,Consumer Cyclical,Travel Services,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",US
2021-07-01,,ABOS.US,BBG0058YJ317,1576885,,US00509G2093,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
2004-04-07,,ABR.US,BBG000KMVDV1,1253986,038923108,US0389231087,Real Estate,REIT - Mortgage,Financials,Financial Services,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs,US
2021-07-22,,ABSI.US,BBG011N54CJ8,1672688,,US00091E1091,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
1980-03-17,,ABT.US,BBG000B9ZXB4,1800,002824126,US0028241000,Healthcare,Medical Devices,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,US
2010-11-15,,ABUS.US,BBG000RR8V85,1447028,87911B209,CA03879J1003,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
2015-11-09,,AC.US,BBG008NZ8QC0,1642122,045528106,US0455281065,Financial Services,Asset Management,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,US
2018-10-30,,ACA.US,BBG00JGMWFM9,1739445,039653100,US0396531008,Industrials,Engineering & Construction,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering,US
2004-05-27,,ACAD.US,BBG000BHG9K0,1070494,004225108,US0042251084,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,US
2020-07-02,,ACCD.US,BBG00S2L1Z00,1481646,M01690102,US00437E1029,Healthcare,Health Information Services,Health Care,Health Care Equipment & Services,Health Care Technology,Health Care Technology,US
1984-11-05,,ACCO.US,BBG000J06K07,712034,00081T108,US00081T1088,Industrials,Business Equipment & Supplies,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Office Services & Supplies,US
